"","PERIODO_OFICIALIZACION","SUBREGIMEN","REGION_ORIGEN","PAIS_ORIGEN_DESC","REGION_PROCEDENCIA","PAIS_PROCEDENCIA_DESC","MEDIO_TRANSPORTE_DESC","ADUANA_DESC","REGION_ADUANA","UNIDAD_DESC","CAPITULO","PARTIDA","CANTIDAD_UNIDAD","KILOS_NETOS","MONTO_FOB_DOLAR","CANAL"
"2043",201701,"IC05","CN","CHINA","CN","CHINA","CAMION","CORDOBA","DIR_REG_AD_CENTRAL","KILOGRAMO","87","8714",12832.5,12832.5,57296,"V"
"2044",201703,"IC03","XX","TAILANDIA","XX","TAILANDIA","CAMION","CORDOBA","DIR_REG_AD_CENTRAL","KILOGRAMO","87","8708",10732.2,10732.2,206857.71,"N"
"2045",201701,"IC03","XX","TAIWAN","XX","TAIWAN","CAMION","CORDOBA","DIR_REG_AD_CENTRAL","KILOGRAMO","87","8708",13387.25,13387.25,88834,"R"
"2046",201702,"IC04","NA","ESTADOS_UNIDOS","NA","ESTADOS_UNIDOS","AVION","MENDOZA","DIR_REG_AD_CENTRAL","KILOGRAMO","82","8207",608.23,608.23,261253.13,"R"
"2047",201702,"IG04","MS","BRASIL","MS","BRASIL","CAMION","CORDOBA","DIR_REG_AD_CENTRAL","KILOGRAMO","85","8537",5513.38,5513.38,161502.62,"R"
"2048",201703,"IG03","UE","REP_FED_DE_ALEMANIA","UE","REP_FED_DE_ALEMANIA","CAMION","CORDOBA","DIR_REG_AD_CENTRAL","KILOGRAMO","87","8708",75530.48,75530.48,430897.87,"N"
"2049",201701,"IC04","NA","ESTADOS_UNIDOS","NA","ESTADOS_UNIDOS","CAMION","CORDOBA","DIR_REG_AD_CENTRAL","KILOGRAMO","85","8536",195.87,195.87,87796.72,"R"
"2050",201703,"IC04","NA","ESTADOS_UNIDOS","NA","ESTADOS_UNIDOS","CAMION","MENDOZA","DIR_REG_AD_CENTRAL","KILOGRAMO","82","8207",4861.43,4861.43,237169.72,"V"
"2051",201702,"IC04","UE","ESPANA","UE","ESPANA","CAMION","CORDOBA","DIR_REG_AD_CENTRAL","KILOGRAMO","85","8516",1843.95,1843.95,74375.26,"V"
"2052",201702,"IC05","UE","ESPANA","UE","ESPANA","CAMION","CORDOBA","DIR_REG_AD_CENTRAL","KILOGRAMO","85","8504",5003.18,5003.18,49640.12,"R"
"2053",201703,"IG04","UE","REP_FED_DE_ALEMANIA","UE","REP_FED_DE_ALEMANIA","CAMION","CORDOBA","DIR_REG_AD_CENTRAL","KILOGRAMO","87","8708",17958.15,17958.15,171743.84,"R"
"2054",201701,"IC03","UE","ITALIA","UE","ITALIA","CAMION","CORDOBA","DIR_REG_AD_CENTRAL","KILOGRAMO","85","8503",53391.5,53391.5,98092.19,"V"
"2055",201703,"IC04","MS","CHILE","MS","CHILE","CAMION","MENDOZA","DIR_REG_AD_CENTRAL","KILOGRAMO","83","8309",10216,10216,119261.85,"R"
"2056",201701,"IG04","MS","BRASIL","MS","BRASIL","ACUATICO","BSAS","DIR_ADUANA_DE_BUENOS_AIRES","KILOGRAMO","85","8536",1939.32,1939.32,98189.44,"N"
"2057",201702,"IC04","CN","CHINA","CN","CHINA","CAMION","RIO_GRANDE","DIR_REG_AD_PATAG,"KILOGRAMO","85","8517",2313.68,2313.68,935582.52,"R"
"2058",201701,"IC04","CN","CHINA","CN","CHINA","ACUATICO","BSAS","DIR_ADUANA_DE_BUENOS_AIRES","KILOGRAMO","82","8204",46944.67,46944.67,176908.91,"R"
"2059",201701,"IC05","CN","CHINA","CN","CHINA","CAMION","RIO_GRANDE","DIR_REG_AD_PATAG,"KILOGRAMO","85","8544",621.25,621.25,180989.77,"R"
"2060",201702,"IG04","UE","REP_FED_DE_ALEMANIA","UE","REP_FED_DE_ALEMANIA","ACUATICO","BSAS","DIR_ADUANA_DE_BUENOS_AIRES","KILOGRAMO","85","8537",388,388,103310.55,"V"
"2061",201703,"IG04","CN","CHINA","CN","CHINA","ACUATICO","USHUAIA","DIR_REG_AD_PATAG,"KILOGRAMO","85","8532",54370.37,54370.37,418860.66,"R"
"2062",201702,"IC04","XX","JAPON","XX","JAPON","ACUATICO","BSAS","DIR_ADUANA_DE_BUENOS_AIRES","KILOGRAMO","85","8536",1969.53,1969.53,94198.89,"R"
"2063",201701,"IC04","NA","MEXICO","NA","ESTADOS_UNIDOS","ACUATICO","BSAS","DIR_ADUANA_DE_BUENOS_AIRES","KILOGRAMO","87","8708",3174.06,3174.06,82810.73,"R"
